自分	じぶん
町内	ちょうない|まちうち
読める	よめる
直線	ちょくせん
東方	とうほう|ひがしがた
体内	たいない
本線	ほんせん
地理	ちり
少数	しょうすう
通行	つうこう
同行	どうこう|どうぎょう
地形	ちけい|じぎょう
南北	なんぼく
買い上げ	かいあげ
目線	めせん
数え	かぞえ
歩道	ほどう
売れる	うれる
来日	らいにち
同日	どうじつ
気楽	きらく
名作	めいさく
野生	やせい
作れる	つくれる
町長	ちょうちょう
直ぐ	すぐ
話し合い	はなしあい
売り上げ	うりあげ
東西	とうざい|ひんがしにし
友だち	ともだち
一同	いちどう
当地	とうち
引き出し	ひきだし
食う	くう
通用	つうよう
間近	まじか
出番	でばん
画家	がか
引き上げ	ひきあげ
会合	かいごう
後方	こうほう|のちかた
原点	げんてん
通う	かよう|がよう
人前	ひとまえ|にんまえ
親友	しんゆう
売り切れ	うりきれ
近づく	ちかづく
黄色い	きいろい
青少年	せいしょうねん
出前	でまえ
気合	きあい
行なう	おこなう
同年	どうねん
公正	こうせい
新書	しんしょ
三角	さんかく
通い	かよい|がよい
光る	ひかる
姉ちゃん	ねえちゃん
牛肉	ぎゅうにく
算出	さんしゅつ
広大	こうだい
原子	げんし
当方	とうほう
前方	ぜんぽう|まえかた
強引	ごういん
目当て	めあて
馬場	うまば|ばば
本場	ほんば
年数	ねんすう
外見	がいけん|そとみ
直ちに	ただちに
万が一	まんがいち
新車	しんしゃ
止まり	とまり|とどまり|どまり
休止	きゅうし
前作	ぜんさく
直す	なおす
合間	あいま
一行	いっこう|ひとくだり
歩み	あゆみ
語学	ごがく
会える	あえる
上回る	うわまわる
理科	りか
心地よい	ここちよい
組み立て	くみたて
切れる	きれる
出来上がり	できあがり
計上	けいじょう
元年	がんねん
知らせ	しらせ
月曜	げつよう
方言	ほうげん
色合い	いろあい
通じる	つうじる
野田	のだ
歌声	うたごえ
古本	ふるほん
外人	がいじん
カ国	かこく
百科	ひゃっか
止まる	とまる|とどまる
音色	ねいろ|おんしょく
西口	にしぐち
立ち読み	たちよみ
車線	しゃせん
切手	きって|ぎって
長女	ちょうじょ|おさめ
本家	ほんけ
教科	きょうか
大国	たいこく
大工	だいく|だいこう
母子	ぼし|ははこ
高木	こうぼく
大声	おおごえ|たいせい
番地	ばんち
生体	せいたい
目黒	めぐろ
売り場	うりば
曜日	ようび
野外	やがい
小麦	こむぎ
北上	ほくじょう
春日	しゅんじつ
太い	ふとい|ぶとい
金曜	きんよう
人体	じんたい|じんてい|にんてい
白鳥	はくちょう|しらとり
金魚	きんぎょ
通話	つうわ
回す	まわす
山道	さんどう|やまみち
社名	しゃめい
海水	かいすい
家計	かけい
名言	めいげん
一角	いっかく|ひとかど
野鳥	やちょう
自力	じりき
広げる	ひろげる
長文	ちょうぶん
同市	どうし
国内外	こくないがい
声明	せいめい|しょうみょう
北東	ほくとう
番手	ばんて
上京	じょうきょう
引け	ひけ
車体	しゃたい
用地	ようち
南海	なんかい
明細	めいさい
外食	がいしょく
内外	ないがい|うちそと
野口	のぐち
毎朝	まいあさ
南西	なんせい
里山	さとやま
入国	にゅうこく
自国	じこく
親方	おやかた
台数	だいすう
夜明け	よあけ
道中	どうちゅう
白馬	しろうま|はくば
高まる	たかまる
読売	よみうり
楽園	らくえん
高まり	たかまり
活力	かつりょく
北西	ほくせい
中元	ちゅうげん
明後日	みょうごにち|あさって
切ない	せつない
上方	かみがた|じょうほう
帰り道	かえりみち
売店	ばいてん
大社	たいしゃ
黒人	こくじん
公社	こうしゃ
強風	きょうふう
通す	とおす|どおす
国交	こっこう
書道	しょどう
山間	さんかん|やまあい
書ける	かける
金色	きんいろ|こんじき
作文	さくぶん
一夜	ひとよ|いちや
前線	ぜんせん
風水	ふうすい
弱点	じゃくてん
入園	にゅうえん
丸い	まるい|まりい
手首	てくび
当分	とうぶん
手書き	てがき|てかき
外す	はずす
小池	こいけ
気合い	きあい
光学	こうがく
土台	どだい
当てる	あてる
台場	だいば
活気	かっき
船長	せんちょう
父母	ちちはは|ふぼ
思いやり	おもいやり
古来	こらい
本数	ほんすう
東口	ひがしぐち
万一	まんいち
合体	がったい
星空	ほしぞら
月間	げっかん
間に合う	まにあう|まにおう
古書	こしょ
見合い	みあい
分ける	わける
大作	たいさく
細か	こまか
新田	しんでん|しんた
直行	ちょっこう
当り	あたり
母さん	かあさん
通算	つうさん
小鳥	ことり
遠方	えんぽう
風土	ふうど|ふど
白色	しろいろ|はくしょく
王朝	おうちょう
年内	ねんない
組む	くむ
半日	はんじつ|はんにち
多大	ただい
高台	たかだい
学長	がくちょう
谷川	たにがわ
半数	はんすう
南国	なんごく
晴天	せいてん
北方	ほっぽう
道のり	みちのり
土方	どかた
黒字	くろじ
明かり	あかり
細工	さいく|ざいく
合金	ごうきん
大家	おおや|たいか|たいけ
行ない	おこない
天地	てんち|あめつち
夜空	よぞら
地道	じみち
行える	おこなえる
自家	じか
算数	さんすう
昼休み	ひるやすみ
国王	こくおう
草原	そうげん|くさはら
書記	しょき
強行	きょうこう
北口	きたぐち
下地	したじ
南口	みなみぐち
赤色	あかいろ|せきしょく
一色	いっしょく
夏場	なつば
番外	ばんがい
家内	かない|やうち
目前	もくぜん
力強い	ちからづよい
手当て	てあて
鳴る	なる
山地	さんち
古川	ふるかわ
時空	じくう
内心	ないしん
山内	さんない
南東	なんとう
内野	ないや
食後	しょくご
田園	でんえん
中原	ちゅうげん
王道	おうどう
風船	ふうせん
直売	ちょくばい
国体	こくたい
食用	しょくよう
今さら	いまさら
直通	ちょくつう
出馬	しゅつば
分科	ぶんか
父さん	とうさん
鳴き声	なきごえ
手形	てがた
用水	ようすい
活かす	いかす
足場	あしば
名門	めいもん
大雪	おおゆき|たいせつ
口元	くちもと
白黒	しろくろ
水色	みずいろ|すいしょく
夜行	やこう
水曜	すいよう
天体	てんたい
木工	もっこう|もく
母校	ぼこう
新入	しんにゅう
合コン	ごうこん
作画	さくが
多用	たよう
見分け	みわけ
園内	えんない
国外	こくがい
思い切り	おもいきり
山野	さんや
思いつき	おもいつき
作り出し	つくりだし
山行	さんこう
鳴り	なり
手話	しゅわ
組立	くみたて
生後	せいご
今時	いまどき
四方	しほう|よも
近づき	ちかづき
長生き	ながいき
遠足	えんそく
半田	はんだ
新生	しんせい
花園	はなぞの|かえん
空母	くうぼ
色気	いろけ
出走	しゅっそう
古今	こきん|ここん
やり直し	やりなおし
南方	なんぽう
理学	りがく
谷口	たにぐち
合図	あいず
話せる	はなせる
日の丸	ひのまる
新春	しんしゅん
大通り	おおどおり
太もも	ふともも
分かれる	わかれる
明白	めいはく
丸出し	まるだし
南下	なんか
外野	がいや
まとめ買い	まとめがい
絵かき	えかき
引き下げ	ひきさげ
原画	げんが
同点	どうてん
直近	ちょっきん
円形	えんけい
聞ける	きける
正午	しょうご
思い入れ	おもいいれ
里親	さとおや
売春	ばいしゅん
車道	しゃどう
新米	しんまい
原文	げんぶん
同名	どうめい
馬車	ばしゃ
木曜	もくよう
電線	でんせん
活字	かつじ
引き分け	ひきわけ
村長	そんちょう|むらおさ
数える	かぞえる
地場	じば
何しろ	なにしろ
中西	ちゅうせい
東名	とうめい
足首	あしくび
下方	かほう
強気	つよき
岩場	いわば
思春	ししゅん
引手	ひきて
顔色	かおいろ|がんしょく
頭上	ずじょう
中高年	ちゅうこうねん
山歩き	やまあるき
台本	だいほん
生前	せいぜん
一読	いちどく
風力	ふうりょく
校内	こうない
行き先	いきさき|ゆきさき
公明	こうめい
わが家	わがや
見当	けんとう
鳴く	なく
白書	はくしょ
